sentence1,sentence2,score
Seorang wanita sedang memotong brokoli.,Seorang wanita sedang memotong brokoli dengan pisau.,0.85
Seorang pria sedang mengupas kentang.,Seorang pria mengupas kentang.,0.76
Seorang wanita sedang bermain gitar.,Seorang pria memainkan gitar.,0.48
Seorang wanita sedang mengiris tomat.,Seorang pria sedang mengiris bawang.,0.32
Seorang pria berenang di bawah air.,Seorang wanita sedang berenang di bawah air.,0.4
Seorang pria dan wanita sedang berbicara.,Seorang pria dan wanita sedang makan.,0.32
Seekor anjing kecil sedang mengejar bola yoga.,Seekor anjing sedang mengejar bola.,0.8
Para pria sedang bermain kriket.,Para pria sedang bermain bola basket.,0.44
Seorang pria mengendarai sepeda motor.,Seorang pria mengendarai sepeda motor.,0.88
Seorang pria sedang bermain gitar.,Seorang pria sedang bernyanyi dan memainkan gitar.,0.72
Pria itu berbicara di telepon.,Pria itu sedang berbicara di telepon.,0.72
Seorang pria sedang memancing.,Seorang pria sedang berolahraga.,0.1
Seorang pria sedang melayang.,Seorang pria sedang berbicara.,0.16
Dua anak laki-laki sedang mengemudi.,Dua teluk sedang menari.,0.12
Seorang pria sedang menunggang kuda.,Seorang gadis sedang menunggang kuda.,0.52
Seorang pria sedang mengendarai sepeda.,Seekor monyet sedang mengendarai sepeda.,0.4
Seorang pria sedang mengiris kentang.,Seorang wanita sedang mengupas kentang.,0.44
Seorang wanita sedang mengupas kentang.,Seorang pria sedang mengiris kentang.,0.48
Seorang pria sedang bermain gitar.,Someoen sedang bermain gitar.,0.72
Seorang wanita sedang mengiris daun bawang.,Seorang wanita sedang mengiris jahe.,0.44
Pria itu memotong piring kertas.,Seorang pria sedang memotong piring kertas.,0.96
Pria itu sedang memainkan gitar.,Seorang pria sedang memainkan seruling.,0.33
Seorang pria sedang bermain piano.,Pria itu sedang memainkan biola.,0.35
Seorang wanita sedang mengiris daging.,Seorang wanita sedang memanggang daging.,0.45
Seorang pria sedang memainkan keyboard-nya.,Seorang pria sedang memainkan piano keyboard.,0.8
Wanita itu memotong daun bawang.,Wanita itu memotong daun bawang.,0.96
Seseorang sedang memasukkan mi ke dalam air.,Seorang wanita sedang merebus mie di dalam air.,0.64
Lionel Richie menari di langit-langit.,Lionel Ritchie menari sambil berdiri di langit-langit.,0.8
Seorang pria sedang memainkan piano.,Seseorang sedang bermain piano.,0.88
Seorang wanita sedang bermain seruling.,Seorang wanita bermain seruling.,0.92
Seorang anak laki-laki sedang memeriksa kalender.,Seorang anak laki-laki sedang melihat kalender.,0.76
Seorang wanita sedang memotong bawang.,Seorang wanita sedang memotong bawang.,0.96
Seorang pria sedang bermain gitar.,Seorang pria memainkan gitar.,0.97
Seorang wanita sedang menggunakan mesin jahit.,Seorang wanita sedang menjahit di atas mesin.,1.0
Seorang wanita sedang membalik pancake.,Seorang koki kartun sedang membalik pancake.,0.51
Seorang pria sedang berlari di jalan.,Sebuah mobil sedang melaju di jalan.,0.2
Seorang pria sedang menunggang kuda.,Seorang pria sedang berbicara di telepon.,0.2
Seorang pria sedang mengendarai sepeda.,Seorang pria sedang menunggang kuda.,0.4
Seorang wanita sedang menari.,Seorang pria sedang makan.,0.03
Seorang pria sedang memainkan piano.,Seorang pria sedang memainkan seruling.,0.4
Seorang pria sedang memainkan seruling.,Seorang pria sedang memainkan piano.,0.32
Seorang pria sedang berputar.,Seorang pria sedang menari.,0.32
Seekor monyet sedang berayun dari satu dahan ke dahan lainnya.,Seekor monyet sedang berayun dari satu pohon ke pohon lainnya.,0.68
Orang-orang turun dari kereta.,Orang-orang turun dari kereta di stasiun.,0.8
Seekor anjing sedang melompat di atas trampolin.,Seekor anjing memantul di atas trampolin.,0.96
Seorang anak laki-laki sedang memainkan alat musik.,Seorang pria sedang memainkan terompet.,0.5
Seorang wanita memainkan gitar.,Seorang pria bernyanyi dan memainkan gitar.,0.35
Seorang wanita sedang mengambil sebuah kaleng.,Seorang wanita sedang mengiris tomat.,0.2
Seorang pria sedang memanjat tali.,Seorang pria memanjat tali.,1.0
Seorang pria sedang mengangkat mobil.,Seorang pria sedang memanjat dinding.,0.28
Seorang pria dan wanita sedang berkendara di jalan dengan jip.,Seorang pria dan wanita sedang berkendara di jalan raya dengan kendaraan terbuka.,0.8
Pria bertelanjang dada itu duduk di sebuah kursi.,Seorang pria bertelanjang dada sedang duduk di kursi.,0.76
Dua wanita sedang bergulat.,Dua orang wanita bergulat di lantai.,0.8
Anak anjing bermain dengan bola tenis berwarna biru.,Seekor anak anjing sedang bermain dengan bola tenis.,0.8
Seekor kanguru sedang memakan sesuatu.,Seekor kanguru sedang makan.,0.96
Seekor kucing sedang bermain piano.,Seorang pria sedang bermain gitar.,0.12
Pria itu memotong karpet dengan pisau.,Seorang pria sedang memotong karpet dengan pisau.,0.95
Seorang wanita mengendarai skuter bermotor di sebuah jalan.,Seorang pria mengendarai skuter motor.,0.44
seseorang sedang mengiris sayuran.,Seseorang sedang mengiris tomat.,0.6
Seorang wanita sedang menari.,Seorang pria sedang berbicara.,0.0
Seekor anjing menjilati air liur bayi.,Seekor anjing menjilati bayi.,0.44
Seorang pria sedang mendayung perahu.,Seorang pria sedang mengiris tomat.,0.08
Seorang pria memotong kentang.,Seorang pria mengiris kentang.,0.96
Seorang wanita sedang memotong bawang putih.,Wanita itu sedang memotong bawang putih.,0.96
Seekor binatang berlari berputar-putar.,Seekor tupai berlari berputar-putar.,0.76
Seorang pria berjalan perlahan menyeberangi jembatan tali.,Seorang anak laki-laki sedang berjalan menyeberangi jembatan.,0.6
Seorang pria sedang bermain gitar.,Seorang pria yang duduk di sebuah ruangan sedang bermain gitar.,0.8
Seorang pria memainkan seruling.,Seorang pria sedang memainkan seruling.,1.0
Seorang wanita memecahkan dua butir telur ke dalam mangkuk kaca.,Seorang wanita sedang memecahkan telur ke dalam mangkuk.,0.76
Seorang pria sedang memotong ikan.,Seorang pria menyantap seekor ikan.,0.6
Dua orang pria sedang mengemasi koper ke dalam bagasi mobil.,Para pria memasukkan koper ke dalam bagasi mobil.,0.88
Seorang pria menuangkan minyak ke atas beberapa buah tomat.,Pria itu menuangkan minyak ke atas tomat yang sudah dipotong.,0.76
Seorang pria sedang mengiris sesuatu.,Seorang pria sedang mengiris roti.,0.6
Seorang pria sedang mengayuh sampan.,Seorang pria sedang memainkan harpa.,0.13
Seorang pria dan wanita sedang berjalan bersama melewati hutan.,Seorang pria dan wanita berjalan bergandengan tangan melewati area hutan.,0.8
Wanita itu mengambil kanguru tersebut.,Seorang wanita menggendong bayi kanguru.,0.75
Ikan sedang berenang.,Seekor ikan sedang berenang.,0.83
Dua orang wanita mencampur sesuatu di dalam food processor.,Dua wanita membuat sesuatu dengan blender.,0.8
Seseorang sedang berselancar di ombak besar.,Seseorang sedang berselancar.,0.72
Seorang pria sedang bermain gitar.,Seorang pria sedang menikam target.,0.24
Seorang pria sedang memainkan seruling dalam sebuah band.,Seorang pria sedang bermain gitar.,0.32
Pria itu mengoleskan mentega di atas roti.,Seorang pria sedang mengoleskan mentega ke atas roti.,0.8
Seseorang sedang merebus mie.,Seorang wanita sedang merebus mie di dalam air.,0.8
Sekelompok orang menari di atas bukit.,Sekelompok orang sedang menari.,0.64
Seorang pria sedang menari di luar.,Seorang pria sedang bermain seruling.,0.2
Seorang wanita sedang menyuapi seorang pria.,Seorang wanita sedang meracik daging.,0.2
Seorang pria sedang memasukkan panci ke dalam oven.,Seorang wanita sedang memotong bawang.,0.12
Seorang wanita sedang duduk di sebuah meja.,Seorang wanita sedang menunggang keledai.,0.08
Petugas medis mengangkut pasien dengan tandu.,Seorang dokter bergegas membawa pasien dengan tandu.,0.68
Seorang wanita memainkan seruling di atas panggung.,Wanita itu sedang memainkan seruling.,0.72
Dua bayi panda sedang bermain.,Dua ekor panda sedang bertelur bersama.,0.6
Seorang bayi sedang tertawa.,Seorang bayi tertawa dan cekikikan.,0.8
Seorang pria sedang bermain gitar.,Seorang anak laki-laki sedang bermain piano.,0.24
Seorang pria sedang melipat kertas.,Seorang wanita sedang mengiris lada.,0.12
Tiga wanita sedang menari.,Pria itu sedang menari.,0.32
Kucing-kucing itu sedang bermain satu sama lain.,Dua ekor kucing sedang berkelahi satu sama lain.,0.52
Seseorang sedang menulis.,Seseorang sedang menulis dengan pensil.,0.72
Seorang pria sedang berlari.,Seorang pria sedang berlari di sebuah jalan.,0.7
Wanita itu sedang menggulung adonan.,Seorang wanita sedang menabur tepung dan menggulung adonan.,0.75
Seorang wanita sedang menambahkan bumbu pada daging.,Seorang wanita sedang menambahkan gula ke dalam daging.,0.55
Seorang wanita sedang menambahkan minyak pada ikan.,Seorang wanita sedang menuangkan air ke ikan.,0.45
Seorang anak laki-laki memegang gitar.,Seorang anak laki-laki sedang bermain gitar.,0.55
Seekor cheetah sedang berlari.,Seekor cheetah sedang berlari melintasi ladang.,0.76
Pria itu sedang makan pizza.,Seorang pria sedang menyantap sepotong pizza.,0.96
Seekor orangutan sedang menaiki bus.,Seekor monyet sedang menaiki bus.,0.72
Seorang pria dan wanita sedang berbincang-bincang di sebuah restoran.,Seorang pria dan wanita sedang mengendarai sepeda.,0.24
Seorang pria sedang bermain gitar.,Seorang pria sedang membersihkan pintu kaca.,0.08
Seorang gadis sedang bernyanyi dan bermain gitar.,Seorang pemuda sedang bernyanyi sambil bermain gitar.,0.48
Seorang anak perempuan sedang berkomunikasi dengan bahasa isyarat.,Seorang gadis muda menggunakan bahasa isyarat.,0.79
Seorang wanita sedang melakukan latihan beban.,Seorang wanita sedang menata rambutnya.,0.1
Seorang pria masuk ke dalam mobil.,Seorang pria tua masuk ke dalam sebuah mobil berwarna merah.,0.75
Sebuah bola hijau besar menjatuhkan kentang.,Sebuah bola hijau besar menghantam sebuah kentang.,0.8
Seekor kucing sedang bermain keyboard.,Seekor kucing sedang bermain piano.,0.6
Dua ekor anjing berenang di kolam renang.,Anjing-anjing sedang berenang di kolam renang.,0.84
Pria itu menggunakan helikopter untuk memotong bawang.,Pria itu menggunakan mesin untuk memotong-motong kentang.,0.4
Seorang wanita mengiris tahu.,Seorang wanita sedang memotong tahu.,1.0
Kawanan rusa sedang menyeberang jalan.,Kawanan karibu sedang menyeberang jalan.,0.6
Orang tersebut sedang menunggang kuda.,Seorang pria sedang menunggang kuda.,0.76
Seseorang sedang memberi makan hewan.,Seseorang sedang memainkan piano.,0.0
Seseorang sedang mengiris tortila.,Seseorang sedang menunggang kuda.,0.0
Seseorang sedang mencampur bahan makanan.,Seseorang sedang menjahit sesuatu.,0.05
Seekor ayam jantan mematuk tikus yang sudah mati.,Seekor ayam sedang mematuk seekor tikus yang sudah mati.,0.8
Seorang wanita memegang seekor kanguru.,Seorang wanita sedang menggendong seekor kanguru.,0.65
Seorang pria sedang bermain dengan katak,Seekor kucing sedang bermain dengan kamera.,0.15
Dua pria sedang berbicara.,Dua orang pria sedang bermain gitar.,0.3
Seorang pria mengoleskan mentega di atas sepotong roti besar.,Seorang pria sedang mengoleskan mentega pada sepotong roti bawang putih.,0.7
Seorang pria sedang berlari menyeberangi kawat yang tinggi.,Seorang pria berlari di atas tali.,0.6
Seorang pria sedang memotong rumput.,Seorang wanita sedang memotong lemon.,0.04
Seorang pria sedang membuka pintu.,Seorang pria sedang bermain gitar.,0.16
Seorang pria sedang mengiris kentang menjadi beberapa bagian.,Seorang pria sedang memotong kentang.,0.84
Wanita itu sedang memotong gurita yang sudah dimasak.,Seorang wanita sedang memotong gurita.,0.76
Seorang pria sedang meninju papan.,Seekor anjing berlari melalui air.,0.08
Seorang pria sedang menari.,Seorang pria sedang makan roti.,0.16
Seseorang sedang memainkan piano.,Seorang pria sedang bermain gitar.,0.24
Dua ekor rubah sedang makan dari piring di atas teras batu bata.,Rubah sedang makan dari piring.,0.56
Seorang anak laki-laki sedang memainkan papan kunci.,Seorang anak laki-laki sedang bermain piano.,0.64
Seseorang memainkan keyboard.,Seseorang sedang memainkan keyboard.,1.0
Seorang pria sedang menembakkan pistol.,Seorang pria sedang meludah.,0.0
Seseorang sedang mengiris bawang.,Someoen sedang mengupas kentang.,0.2
Seorang pria sedang berenang.,Seorang wanita sedang mengiris daging.,0.0
Seorang pria sedang bermain gitar.,Seorang pria memainkan gitar akustik.,0.75
Seorang wanita sedang mengiris labu.,Seorang wanita sedang menunggang gajah.,0.08
Seorang wanita sedang menari.,Seorang wanita sedang mengaduk adonan.,0.08
Seorang wanita sedang memecahkan telur ke dalam mangkuk.,Seorang wanita sedang meletakkan tusuk sate di atas rak.,0.12
Sebuah mobil sedang melaju di jalan raya.,Sebuah mobil sedang melaju di jalan.,0.8
Seseorang sedang mengolesi wajan.,Smeone sedang berbaring.,0.08
Seorang pria sedang bermain gitar.,Seorang pria sedang meniriskan pasta.,0.08
Seorang wanita sedang minum vodka.,Seorang wanita sedang berolahraga.,0.08
Seorang wanita sedang memotong daging menjadi beberapa bagian.,Seorang wanita sedang memotong daging.,0.96
Seorang pria sedang membilas steak.,Seorang pria sedang bermain gitar.,0.12
Seorang pria sedang menjual barang.,Seorang pria sedang membersihkan rumah.,0.16
Seorang pria sedang melompati tembok.,Seorang pria melompat ke dinding yang pendek.,0.64
Para pelari berlomba mengelilingi lintasan.,Para pelari berkompetisi dalam sebuah perlombaan.,0.64
Seorang pria sedang menendang bola sepak.,Seorang pria sedang mengaduk sebuah mangkuk.,0.12
Seorang wanita sedang menggoreng sesuatu.,Seorang wanita sedang menunggang kuda.,0.12
Seekor kucing sedang menjilati pengisap.,Seorang wanita sedang mengiris mentimun.,0.0
Seorang wanita sedang menari di dekat api.,Seorang wanita sedang mandi.,0.28
Pria itu sedang membelah seekor ikan.,Seorang pria sedang mengiris kentang.,0.44
Mentega meleleh di dalam wajan.,Seorang pria sedang melelehkan mentega di dalam wajan.,0.72
Tiga anak laki-laki sedang menari.,Anak-anak menari.,0.62
Seorang wanita sedang bermain game dengan seorang pria.,Seorang pria sedang bermain piano.,0.12
Pria itu mengendarai mobil berwarna putih.,Seorang pria sedang melakukan wawancara.,0.08
Seorang pria mengemudikan mobilnya.,Seorang pria sedang mengendarai mobil.,0.85
Sebuah mobil mundur dari tempat parkir.,Sebuah mobil mundur dari jalur yang diblokir.,0.6
Seorang pria menaruh keju di atas pizza.,Pria itu menaburkan keju di atas pizza.,1.0
Anak laki-laki itu sedang bermain piano.,Seorang anak laki-laki memainkan piano.,1.0
Pria itu memainkan gitarnya.,Seorang pria sedang bermain gitar.,0.75
Seorang pria sedang menunggang kuda.,Seorang pria sedang memainkan keyboard.,0.04
Seorang pria sedang berjalan di atas tali.,Seorang pria sedang mengendarai mo-pad.,0.08
Seorang gadis sedang memainkan seruling.,Sebuah band sedang bermain di atas panggung.,0.26
Orang-orang turun dari kereta api.,Sekelompok orang turun dari kereta api.,0.92
Seorang wanita sedang menjahit di atas mesin.,Seorang wanita sedang memanggang daging.,0.12
Seekor anjing sedang melihat ke dalam kolam renang.,Seekor anjing sedang berjalan di sekitar kolam.,0.4
Seorang pria sedang mengoleskan mentega pada sepotong roti.,Seorang pria sedang mengoleskan mentega pada roti.,1.0
Seorang pria sedang memotong tomat menjadi beberapa bagian.,Seorang wanita sedang memotong sayuran.,0.36
Tiga gadis remaja menari di dalam ruangan.,Beberapa gadis remaja menari di depan kamera.,0.48
Seekor singa sedang berjalan.,Seekor singa mondar-mandir di dalam kandang.,0.48
Seorang pria sedang memotret sebuah mobil.,Seorang pria sedang memotong kentang.,0.08
Seekor kuda hitam sedang berlarian.,Kuda itu berlari.,0.84
Seorang wanita sedang mengupas udang.,Seorang pria sedang menari di tengah hujan.,0.0
Seorang pria sedang menunggang kuda.,Seorang wanita sedang mencuci lemari es.,0.0
Seorang pria berjalan menyusuri jalan setapak.,Seorang pria berjalan melintasi tali yang ketat.,0.16
Seorang pria sedang mengiris kentang.,Seorang wanita sedang memotong jalepeno.,0.28
Seekor anjing menggonggong pada sebuah bola.,Seekor anjing berenang mengejar bola tenis.,0.3
Seorang anak berlari menjauhi ikan yang berayun-ayun di pancing.,Seorang anak kecil berlarian di sekitar pancing.,0.5
Seorang pria berjalan di sepanjang jalan setapak melalui hutan belantara.,Seorang pria sedang berjalan menyusuri jalan.,0.5
Seorang pria tua sedang berbicara di sebuah podium.,Seorang pria sedang berpidato di podium.,0.7
Seorang pria yang sedang menunggang kuda dalam gerakan lambat.,Seorang pria sedang menunggang kuda.,0.68
Seseorang sedang memotong keju burrata.,Orang tersebut sedang mengiris keju.,0.76
Pria itu menembakkan senapan otomatis.,Seorang pria sedang menembakkan pistol.,0.76
Seorang pria sedang menghancurkan bawang putih dengan bagian belakang pisau.,Seorang wanita sedang mengiris daging dengan pisau.,0.3
Seorang wanita sedang mengikir kuku jarinya dengan papan ampelas.,Seorang wanita sedang menyusui bayinya dengan botol.,0.1
Seorang pria sedang mengendarai papan luncur.,Seorang wanita sedang memotong kentang.,0.0
Seorang wanita sedang mandi.,Seorang pria sedang menunggang kuda putih.,0.0
Seorang pria sedang menari.,Seorang pria sedang menunggang kuda.,0.16
Seorang pria sedang mendayung perahu.,Seorang pria sedang menembakkan pistol.,0.17
Seorang pria sedang berayun pada tali yang terpasang di langit-langit.,Seorang pria sedang berayun di atas tali.,0.68
Seorang wanita sedang menunggang kuda di pantai.,Seorang pria menggendong pria lain di punggungnya.,0.08
Seorang pria memegang seekor hewan kecil di satu tangan.,Seorang pria memamerkan seekor monyet kecil.,0.35
Seseorang sedang melipat selembar kertas persegi.,Seorang pria sedang melipat kertas.,0.65
Seseorang sedang menggoreng daging dalam wajan.,Seseorang sedang memegang seekor sigung.,0.15
Seekor simpanse melukai seorang wanita.,Seorang pria sedang mengendarai mobil.,0.0
Wanita itu sedang mengupas udang.,Pria itu memegang seekor lemur.,0.0
Dua ekor zebra sedang bermain.,Zebra sedang bersosialisasi.,0.85
Seorang wanita sedang mengiris mentega.,Seorang wanita mengiris tahu.,0.36
Beberapa pria sedang bermain gitar.,Tiga orang pria bermain gitar dan bernyanyi bersama.,0.64
Gajah-gajah itu menyemprotkan air ke tubuh mereka sendiri.,Gajah menyemprot diri mereka sendiri dengan air.,0.72
Seekor anjing duduk di konter sebuah toko.,Anjing itu berdiri di konter.,0.52
Seseorang mengebor lubang pada sebatang kayu dengan bor listrik.,Seorang pria mengebor sebuah lubang pada sepotong kayu.,0.64
Seorang wanita sedang mengiris sayuran.,Wanita itu sedang memotong bawang putih.,0.56
Seekor musang sedang menggali lubang.,Seekor musang sedang menggali tanah.,0.92
Seorang wanita sedang bermain ski air di danau.,Seorang pria sedang memainkan seruling.,0.0
Seorang gadis sedang memainkan biola.,Seorang bayi tertawa dan cekikikan.,0.05
Sebuah helikopter mendarat di landasan helikopter.,Sebuah helikopter mendarat.,0.78
Seorang wanita sedang memotong ayam.,Seorang wanita sedang mengiris daging.,0.55
Seorang wanita sedang memotong mentimun.,Seorang pria sedang bermain gitar.,0.0
Seorang wanita menunggang gajah di depan kerumunan orang yang mengaguminya.,Seorang wanita menunggang gajah.,0.6
Seekor anak anjing meluncur mundur di sepanjang lantai.,Seekor anak anjing mendorong dirinya sendiri ke belakang.,0.76
Seorang wanita membelah siung bawang putih.,Seorang wanita sedang memecah kepala bawang putih menjadi siung.,0.92
Seekor anjing sedang melihat ke dalam kolam renang.,Seekor anjing berjalan di sepanjang tepi kolam.,0.52
Seorang wanita mencampur perawatan kecantikan dalam gelas.,Seorang wanita sedang mencampur krim dalam gelas dengan sendok.,0.72
Seorang pria sedang menggambar.,Seseorang sedang menggambar.,0.72
Seorang wanita sedang memetik tomat.,Seorang wanita sedang menuangkan adonan ke dalam mangkuk.,0.2
Seorang pria sedang melihat monitor komputer.,Seorang pria sedang menggunakan laptop.,0.55
Anak laki-laki itu mengendarai sepeda roda tiga.,Seorang wanita mengendarai skuter air.,0.25
Dua orang pria berkompetisi dalam perlombaan menggelindingkan ban.,Dua orang membalikkan ban traktor dalam sebuah perlombaan.,0.55
Seseorang sedang memotong daging.,Seseorang mengendarai banteng mekanik,0.0
Seorang pria sedang memainkan biola.,Seorang wanita sedang menggunakan mesin jahit.,0.0
Bayi itu merangkak melalui ambang pintu.,Seorang bayi merangkak melintasi lantai.,0.48
Seorang pria sedang bermain keyboard.,Seseorang sedang memainkan piano.,0.44
Seorang pria sedang mencium dua buah pizza.,Seorang wanita sedang menyuapi seorang pria.,0.04
Seekor monyet menarik ekor seekor anjing.,Seekor monyet sedang menggoda seekor anjing di kebun binatang.,0.56
Seekor anjing berbaring telentang di lantai kayu.,Seekor anjing sedang berbaring di lantai.,0.8
